ref;occurrences;top_sermons;resume_amorce
Hebreux 13:8;375;"SKN 63-0707M; VGR 63-0707; VGR 63-0707M; SKN 64-0816; SKN 64-0617";"Ils ne peuvent rien trouver contre Cela; Ils ne peuvent pas oser contredire Cela. Et Ils savent que la preuve est là; Ils savent que la Bible dit cela; et la seule chose qu'Ils peuvent faire, c'est blasphémer contre Cela. C'est exact. Ainsi... et tout ceci, c'est pour les mêmes motifs. Et maintenant sur cette base, j’accuse cette génération de crucifier Jésus- Christ, de crucifixion, et d'en être coupable. Ils ont crucifié le Prince de la Vie avec des mains sales, impies, égoïstes et dénominationnelles, Lui qui voulait Se manifester aux gens. Vous dites : «Est-ce la même Personne?» «Au commenc"
Malachie 4:0;360;"VGR 64-0719M; SKN 64-0719M; SKN 63-0116; SKN 64-0830E; VGR 63-0116";Pourquoi y a-t‑il eu…y avait-il des mystères qui étaient encore cachés? Dans Apocalypse 10 nous voyons, à la fin du Message du septième ange, que ces mystères qui avaient été cachés allaient être révélés, Apocalypse 10.1 à 7. Remarquez, la raison en est qu’il n’y avait pas eu de prophètes pendant cet âge. La Bible dit que “Dieu ne fait rien sans l’avoir révélé à Ses prophètes, Ses serviteurs les prophètes”. Et dans tous les âges, la Parole du Seigneur est toujours venue aux prophètes, jamais à un système, jamais à un groupe. Jamais Dieu n’a utilisé un groupe. Chaque fois qu’un groupe de gens s
Marc 16:0;324;"SKN 64-0621; VGR 64-0427; SKN 64-0427; SKN 58-0330A; SKN 57-0126B";Comme passage des Ecritures, cet après-midi, prenons l’Evangile de Marc, chapitre 16 de Marc. Et j’aimerais que vous vous leviez avec vos Bibles pendant que nous lisons la Parole de Dieu : Marc 16, à partir du verset 9. Jésus, étant ressuscité le matin du premier jour de la semaine, apparut d’abord à Marie de Magdala, de laquelle il avait chassé sept démons. Elle alla en porter la nouvelle à ceux qui avaient été avec lui, et qui s’affligeaient et pleuraient. Quand ils entendirent qu’il vivait, et qu’elle l’avait vu, ils ne le crurent point. Après cela, il apparut sous d’autres formes, de deux…
Jean 5:19;319;"SKN 61-0224; SKN 58-0515; SKN 58-0312; SKN 59-0422; SKN 55-0815";"Et quand on l'a amené au prétoire, qu'on a placé un lambeau sur son visage, qu'on lui a bandé les yeux, qu'on a pris un bâton et qu'on a tapé sur Sa précieuse tête, disant: ""Si tu es donc prophète et que tu peux nous dire... si tu es ce Messie prophète, dis-nous qui t'a tapé sur la tête"", Il n'a jamais dit un mot. Les puissances et les dons de Dieu ne sont pas destinés aux spectacles. Ils sont au service de Dieu. Ils sont pour la gloire de Dieu, pour faire quelque chose pour aider quelqu'un, non pas pour être prétentieux et dire: ""Moi, oh! la la! un grand..."" Ce n'est pas ça. Quand un homme fa"
Jean 14:12;227;"SKN 59-1217; VGR 59-1217; VGR 62-0318M; SKN 65-0418M; VGR 65-0418M";Maintenant, nous sommes à une époque... A l’époque, ils étaient loin d’être aussi avancés qu’ils le sont aujourd’hui. Ils ne pouvaient pas fabriquer une bombe atomique ou une automobile. Ils n’avaient pas la science et tout, comme on en a maintenant, mais... et de ces espèces de choses mystérieuses. Essayer de dire que l’homme est apparu tout seul à partir de la poussière, et tout, et de prendre une quelconque analyse, et essayer de prouver ça pour faire des gens des incroyants... Mais maintenant, quand nous avons besoin de Lui, l’Esprit de Dieu lève un étendard. Qu’est-ce? Il déverse Son Espr
Jean 4:0;156;"SKN 61-0212E; SKN 61-0205E; SKN 57-1213; SKN 59-0422; SKN 59-0418";Or, rappelez-vous, Jésus a dit: «Ce qui arriva du temps de Sodome arrivera de même à la Venue du Fils de l’homme», que ce même Esprit qui avait été identifié dans la chair humaine, qu’Abraham appela Elohim... Quelqu’un sait-il ce que signifie Elohim? Assurément, le Tout-Puissant, Celui qui existe par Lui-même. Abraham, le patriarche, L’a appelé Elohim. Il s’est présenté dans un corps de chair, mangeant et buvant juste comme tout autre être humain. Il a accompli ce signe devant l’Eglise élue, avant de détruire Sodome. Oh! Ne manquez pas cela, frères. Cette heure est arrivée. Elohim, Jésus-Chris
Ephesiens 4:30;144;"SKN 54-0514; VGR 54-0514; SKN 60-1211M; VGR 60-1211M; SKN 59-1216";Quand les fléaux frappaient, les seuls qui étaient protégés, c'étaient ceux qui avaient été scellés dans le Royaume de Dieu. Ceci est l'investigation en vue du jugement, quand les hommes…Et-et si Dieu me vient en aide, nous le prouverons dans quelques minutes, par la Parole du Seigneur, que c'est maintenant le temps du scellement en vue du fléau. Et pour ceux qui rejettent Cela, il ne reste que la châtiment éternel. Maintenant, nous allons dans l'Ancien Testament. Et allons ici, si vous le voulez, dans le livre d'Ezechiel, si vous le voulez, et lisons un peu dans Ezechiel 9. Maintenant, avec l
Jean 5:24;137;"SKN 57-1002; SKN 62-0609E; SKN 63-0728; SKN 63-1128E; SKN 61-0217";Maintenant, voici une autre question, qui vient en second lieu, la meilleure que j'avais ce soir-là. 61. Où était l'Esprit de Jésus pendant les trois jours que son Corps se trouvait dans la tombe? Où était Son Esprit? Bon, Son Esprit, si vous suivez les Écritures... Eh bien, nous pourrions simplement présenter beaucoup de passages. Mais j'aimerais savoir qui a une Bible. Frère Stricker, vous avez une Bible? Très bien. Frère Neville, vous en avez une? Cherchez-moi le Psaume 16, verset 10. Et qui encore? Soeur Wood, vous avez une Bible avec vous? Eh bien, Frère Stricker (très bien, l'un ou l'aut
Malachie 3:0;129;"SKN 65-1206; VGR 65-1206; SKN 65-0801E; VGR 65-0801E; SKN 61-1112";"Mais Lui a dit: ""Je les rencontrerai en un seul lieu, là où J'ai placé Mon Nom."" C'est en Jésus-Christ. C'est là que Dieu a placé Son Nom. C'est le seul lieu où Il vous rencontrera; et c'est en Christ, c'est la Parole, voyez? Le même hier... Cela a grandi depuis les pieds, les cuisses. Et aujourd'hui, c'est au niveau de la tête; prêt pour le départ; manifestant la pleine mesure, l'Epouse, semblable à l'Epoux. Maintenant, venons-en à notre texte, très vite, pendant environ dix minutes, et après nous terminerons. Maintenant, notre texte, nous sommes... là où nous allons considérer, c'est, c'est "
Actes 19:0;127;"SKN 59-0628E; SKN 65-0418M; VGR 59-0628E; SKN 52-0900; SKN 56-0223";"Il pourrait y avoir un bon débat de cinq heures là-dessus. Quand vous acceptez Christ comme votre Saveur et qu'ensuite vous vous apprêtez pour le baptême d'eau, vous n'êtes pas encore converti; vous croyez simplement à la repentance. ""Conversion"" signifie ""être changé"". Bon, pour rendre ceci efficace, Jésus a dit à Pierre qui L'avait aussi suivi pendant trois ans et demi... Et dans le Livre de Matthieu, au chapitre 10, Jésus a donné à Pierre le pouvoir d'aller chasser les esprits impurs, de guérir les malades, et de prêcher l'Evangile. Il avait le pouvoir de le faire. Et dans St. Jean 17:17, J"
Actes 2:38;124;"SKN 57-0925; VGR 57-0925; SKN 61-0108; VGR 61-0108; SKN 54-0515";Je pense que chacun comprend cela. Si c'est le cas, levez la main. Ce - c'est le dessin éternel du Dieu Tout-Puissant, cela est certainement bien au-delà - bien au delà de ce que l'homme pourrait faire. Maintenant : Question n° 56 : Je ne comprends pas l'enseignement sur le baptême d'eau dans Matthieu chapitre 28, verset 19. Qu'est-ce que ça veut dire? Bien, maintenant peut-être que cela ne me prendra qu'une minute. Et si quelqu'un veut bien ouvrir avec moi, Matthieu chapitre 28, verset 19. Et nous verrons ce que cette personne est...25... Maintenant, ceci vous édifiera si vous voulez bien vou
